v1
v0.8.2
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Core i5-10600K CPU @ 4.10GHz,AMD Radeon RX 9070 XT (RADV GFX1201),32148228,7.0.1-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
100.46,9.95416,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1013714991
99.5431,10.0459,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1023761941
100.4,9.96019,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1033722500
99.638,10.0363,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1043760210
100.315,9.96861,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1053729783
99.7239,10.0277,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1063758608
100.161,9.9839,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1073742587
99.8294,10.0171,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1083760750
100.434,9.95675,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1093717435
99.7053,10.0296,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1103748067
100.31,9.96912,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1113717689
99.6083,10.0393,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1123758265
100.353,9.96483,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1133723516
99.7581,10.0242,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1143748763
99.3616,10.0642,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1153814243
100.546,9.9457,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1163760697
100.06,9.99397,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1173755852
100.1,9.99006,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1183746454
100.286,9.97146,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1193718447
99.5784,10.0423,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1203761874
100.47,9.95322,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1213714663
99.302,10.0703,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1223786252
100.552,9.94513,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1233731857
99.5493,10.0453,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1243777955
100.33,9.96716,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1253746186
99.9225,10.0078,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1263754190
100.146,9.98537,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1273740475
99.5585,10.0443,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1283786305
100.603,9.94005,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1293725996
99.7567,10.0244,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1303751323
100.123,9.98771,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1313739241
99.7358,10.0265,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1323767163
100.529,9.94741,20.3333,0,0,67,0,350,0,0,0,12.6539,0.733524,0,4498,1333714330
